Club,Elo,From,To
Man United,1777.77929688,2016-12-09,2016-12-11
Man United,1785.01574707,2016-12-12,2016-12-12
Man United,1785.01574707,2016-12-13,2016-12-14
Man United,1790.84887695,2016-12-15,2016-12-17
Man United,1800.70751953,2016-12-18,2016-12-18
Man United,1800.70751953,2016-12-19,2016-12-26
Man United,1804.60913086,2016-12-27,2016-12-31
Man United,1807.29528809,2017-01-01,2017-01-02
Man United,1815.99230957,2017-01-03,2017-01-14
Man United,1815.99230957,2017-01-15,2017-01-15
Man United,1814.8963623,2017-01-16,2017-01-21
Man United,1812.9979248,2017-01-22,2017-01-30
Man United,1812.9979248,2017-01-31,2017-02-01
Man United,1805.66455078,2017-02-02,2017-02-04
Man United,1805.66455078,2017-02-05,2017-02-05
Man United,1818.06860352,2017-02-06,2017-02-11
Man United,1821.89367676,2017-02-12,2017-02-14
Man United,1821.89367676,2017-02-15,2017-02-15
Man United,1819.05639648,2017-02-16,2017-02-16
Man United,1829.82055664,2017-02-17,2017-02-19
Man United,1829.82055664,2017-02-20,2017-02-21
Man United,1832.14294434,2017-02-22,2017-02-22
Man United,1835.56555176,2017-02-23,2017-02-23
Man United,1830.49230957,2017-02-24,2017-02-26
Man United,1830.49230957,2017-02-27,2017-03-04
Man United,1823.44482422,2017-03-05,2017-03-05
Man United,1823.44482422,2017-03-06,2017-03-07
Man United,1822.45288086,2017-03-08,2017-03-09
Man United,1824.55285645,2017-03-10,2017-03-14
Man United,1830.70825195,2017-03-15,2017-03-15
Man United,1825.62158203,2017-03-16,2017-03-16
Man United,1831.77624512,2017-03-17,2017-03-18
Man United,1831.77624512,2017-03-19,2017-03-19
Man United,1837.49182129,2017-03-20,2017-04-01
Man United,1831.74768066,2017-04-02,2017-04-04
Man United,1827.7043457,2017-04-05,2017-04-09
Man United,1834.75976562,2017-04-10,2017-04-12
Man United,1834.34375,2017-04-13,2017-04-13
Man United,1836.24072266,2017-04-14,2017-04-15
Man United,1836.24072266,2017-04-16,2017-04-16
Man United,1846.50170898,2017-04-17,2017-04-18
Man United,1845.96704102,2017-04-19,2017-04-20
Man United,1851.9942627,2017-04-21,2017-04-23
Man United,1858.93530273,2017-04-24,2017-04-27
Man United,1861.02075195,2017-04-28,2017-04-30
Man United,1853.59277344,2017-05-01,2017-05-04
Man United,1860.77294922,2017-05-05,2017-05-05
Man United,1860.77294922,2017-05-06,2017-05-06
Man United,1860.77294922,2017-05-07,2017-05-07
Man United,1850.44335938,2017-05-08,2017-05-11
Man United,1850.85412598,2017-05-12,2017-05-13
Man United,1850.85412598,2017-05-14,2017-05-14
Man United,1844.77148438,2017-05-15,2017-05-17
Man United,1842.81713867,2017-05-18,2017-05-21
Man United,1846.27844238,2017-05-22,2017-05-24
