Club,Elo,From,To
Newcastle,1625.15380859,2017-04-05,2017-04-05
Newcastle,1627.09765625,2017-04-06,2017-04-08
Newcastle,1618.01525879,2017-04-09,2017-04-12
Newcastle,1617.59924316,2017-04-13,2017-04-13
Newcastle,1618.06201172,2017-04-14,2017-04-14
Newcastle,1613.40454102,2017-04-15,2017-04-15
Newcastle,1613.40454102,2017-04-16,2017-04-16
Newcastle,1613.40454102,2017-04-17,2017-04-17
Newcastle,1598.88305664,2017-04-18,2017-04-18
Newcastle,1598.3482666,2017-04-19,2017-04-20
Newcastle,1599.8170166,2017-04-21,2017-04-24
Newcastle,1604.52868652,2017-04-25,2017-04-26
Newcastle,1604.52868652,2017-04-27,2017-04-28
Newcastle,1614.16809082,2017-04-29,2017-04-29
Newcastle,1614.16809082,2017-04-30,2017-04-30
Newcastle,1614.16809082,2017-05-01,2017-05-03
Newcastle,1614.16809082,2017-05-04,2017-05-04
Newcastle,1615.92358398,2017-05-05,2017-05-06
Newcastle,1615.92358398,2017-05-07,2017-05-07
Newcastle,1619.99804688,2017-05-08,2017-05-08
Newcastle,1619.99804688,2017-05-09,2017-05-11
Newcastle,1620.09851074,2017-05-12,2017-05-12
Newcastle,1620.09851074,2017-05-13,2017-05-14
Newcastle,1620.09851074,2017-05-15,2017-05-18
Newcastle,1620.09851074,2017-05-19,2017-05-19
Newcastle,1620.09851074,2017-05-20,2017-05-24
Newcastle,1622.84375,2017-05-25,2017-05-27
Newcastle,1622.84375,2017-05-28,2017-06-29
Newcastle,1622.84375,2017-06-30,2017-07-01
Newcastle,1622.84375,2017-07-02,2017-07-21
Newcastle,1622.84375,2017-07-22,2017-07-25
Newcastle,1622.84375,2017-07-26,2017-07-27
Newcastle,1622.85705566,2017-07-28,2017-07-29
Newcastle,1622.85705566,2017-07-30,2017-08-02
Newcastle,1622.85705566,2017-08-03,2017-08-03
Newcastle,1623.17907715,2017-08-04,2017-08-04
Newcastle,1623.17907715,2017-08-05,2017-08-05
Newcastle,1623.17907715,2017-08-06,2017-08-06
Newcastle,1623.17907715,2017-08-07,2017-08-11
Newcastle,1623.17907715,2017-08-12,2017-08-12
Newcastle,1623.17907715,2017-08-13,2017-08-13
Newcastle,1618.11096191,2017-08-14,2017-08-15
Newcastle,1620.72680664,2017-08-16,2017-08-16
Newcastle,1620.72680664,2017-08-17,2017-08-17
Newcastle,1621.89611816,2017-08-18,2017-08-19
Newcastle,1621.89611816,2017-08-20,2017-08-20
Newcastle,1612.65942383,2017-08-21,2017-08-23
Newcastle,1614.21813965,2017-08-24,2017-08-24
Newcastle,1614.51269531,2017-08-25,2017-08-26
Newcastle,1627.33105469,2017-08-27,2017-09-10
Newcastle,1638.39526367,2017-09-11,2017-09-11
Newcastle,1638.39526367,2017-09-12,2017-09-12
Newcastle,1639.76806641,2017-09-13,2017-09-13
Newcastle,1643.49987793,2017-09-14,2017-09-14
Newcastle,1640.66308594,2017-09-15,2017-09-16
Newcastle,1647.84606934,2017-09-17,2017-09-17
Newcastle,1647.84606934,2017-09-18,2017-09-20
Newcastle,1647.84606934,2017-09-21,2017-09-22
Newcastle,1647.84606934,2017-09-23,2017-09-24
Newcastle,1640.09460449,2017-09-25,2017-09-26
Newcastle,1642.65368652,2017-09-27,2017-09-27
Newcastle,1650.44824219,2017-09-28,2017-09-28
Newcastle,1648.84484863,2017-09-29,2017-09-30
Newcastle,1648.84484863,2017-10-01,2017-10-01
Newcastle,1652.75769043,2017-10-02,2017-10-14
Newcastle,1652.75769043,2017-10-15,2017-10-15
Newcastle,1655.65795898,2017-10-16,2017-10-17
Newcastle,1660.97973633,2017-10-18,2017-10-18
Newcastle,1661.39892578,2017-10-19,2017-10-19
Newcastle,1658.95898438,2017-10-20,2017-10-21
Newcastle,1664.40820312,2017-10-22,2017-10-22
Newcastle,1664.40820312,2017-10-23,2017-10-28
Newcastle,1664.40820312,2017-10-29,2017-10-29
Newcastle,1664.40820312,2017-10-30,2017-10-30
Newcastle,1658.13427734,2017-10-31,2017-10-31
Newcastle,1655.36108398,2017-11-01,2017-11-01
Newcastle,1663.55297852,2017-11-02,2017-11-02
Newcastle,1658.2199707,2017-11-03,2017-11-04
Newcastle,1648.74523926,2017-11-05,2017-11-18
Newcastle,1645.5612793,2017-11-19,2017-11-19
Newcastle,1645.5612793,2017-11-20,2017-11-20
Newcastle,1645.5612793,2017-11-21,2017-11-21
Newcastle,1647.88342285,2017-11-22,2017-11-22
Newcastle,1645.07580566,2017-11-23,2017-11-23
Newcastle,1634.52539062,2017-11-24,2017-11-25
Newcastle,1618.66552734,2017-11-26,2017-11-28
Newcastle,1620.79821777,2017-11-29,2017-11-29
